Font Name	Version	woff2	woff	ttf	eot	svg	Total Size
Source Serif Pro	8	19368	23652	48312	23063	70613	185008
Space Mono	5	15748	19280	37128	17754	55627	145537
Spartan	2	11316	14736	23072	12699	57351	119174
Special Elite	10	53368	63724	116896	59319	437745	731052
Spectral SC	5	18728	22692	48260	21927	58016	169623
Spectral	6	21144	25372	55108	24416	62413	188453
Spicy Rice	9	22616	26520	47012	26168	135537	257853
Spinnaker	11	10504	13628	20508	11461	62199	118300
Spirax	9	15972	20060	44980	18502	78917	178431
Squada One	8	5644	8436	17136	6226	44310	81752
Sree Krushnadevaraya	8	13032	15252	24500	13856	32878	99518
Sriracha	4	39152	48412	104528	44817	98332	335241
Srisakdi	4	15044	18444	32048	16821	101136	183493
Staatliches	3	15764	19112	38184	18368	65083	156511
Stalemate	8	25944	29652	54276	28827	160732	299431
Stalinist One	26	11360	15108	29996	12989	31421	100874
Stardos Stencil	11	14840	18784	34536	16363	95182	179705
Stint Ultra Condensed	9	12044	14856	25700	13474	67341	133415
Stint Ultra Expanded	8	12928	16064	27836	14343	73523	144694
Stoke	10	28788	34320	72136	31192	128932	295368
Strait	8	9036	12244	24228	9923	57973	113404
Stylish	8	15148	18944	32932	17790	50554	135368
Sue Ellen Francisco	11	14528	18128	31964	15145	71187	150952
Suez One	4	14408	17784	30828	16576	64228	143824
Sulphur Point	2	15720	19272	35368	17916	54323	142599
Sumana	5	23984	28880	61500	27123	76226	217713
Sunflower	9	9020	12668	25564	11114	21943	80309
Sunshiney	11	61052	72720	152948	69289	552624	908633
Supermercado One	10	21308	27152	68776	23701	103813	244750
Sura	5	18324	21948	37120	20467	66771	164630
Suranna	7	12548	14836	23444	13334	31557	95719
Suravaram	7	16036	19196	31532	17608	43836	128208
Swanky and Moo Moo	10	18368	21048	33968	20075	135240	228699
Syncopate	11	32268	41572	105880	37449	66922	284091
Tajawal	3	10228	13508	24988	11578	50554	110856
Tangerine	11	23236	28140	54620	22989	108345	237330
Tauri	9	15064	18416	28652	16694	68518	147344
Taviraj	5	22172	27400	57708	25266	69416	201962
Teko	9	13324	17256	34796	15041	43161	123578
Telex	8	14324	17808	30528	16264	48374	127298
Tenali Ramakrishna	7	10480	12788	21448	11701	29047	85464
Tenor Sans	11	18500	22980	52024	17831	63143	174478
Text Me One	8	10764	14228	31216	11460	80560	148228
Thasadith	4	10672	13808	24244	12154	63819	124697
The Girl Next Door	11	22616	26516	39312	23951	121682	234077
